id,uses81,distance,time,fuelUsed,latFrom,lngFrom,latTo,lngTo
"a6ab339c-9071-4ee7-88d3-5e05f032a9da","1",11.764,687,0,43.198894,-76.124824,43.0524,-76.154722"
"a6ab339c-9071-4ee7-88d3-5e05f032a9da","1",12.01,711,0,43.172248,-76.191795,43.0524,-76.154722"
"a6ab339c-9071-4ee7-88d3-5e05f032a9da","1",12.089,716,0,43.172168,-76.193359,43.0524,-76.154722"
"a6ab339c-9071-4ee7-88d3-5e05f032a9da","1",14.644,855,0,43.188594,-76.234184,43.0524,-76.154722"
"a6ab339c-9071-4ee7-88d3-5e05f032a9da","1",13.239,778,0,43.175006,-76.214256,43.0524,-76.154722"
"a6ab339c-9071-4ee7-88d3-5e05f032a9da","1",13.098,771,0,43.173892,-76.211921,43.0524,-76.154722"
"a6ab339c-9071-4ee7-88d3-5e05f032a9da","1",7.405,516,0,43.117664,-76.221893,43.0524,-76.154722"
"a6ab339c-9071-4ee7-88d3-5e05f032a9da","1",1.65,158,0,43.05907,-76.184616,43.0524,-76.154722"
"a6ab339c-9071-4ee7-88d3-5e05f032a9da","1",8.119,576,0,42.958126,-76.136657,43.0524,-76.154722"
"a6ab339c-9071-4ee7-88d3-5e05f032a9da","1",20.006,1202,0,42.793075,-76.12416,43.0524,-76.154722"
"a6ab339c-9071-4ee7-88d3-5e05f032a9da","1",20.357,1288,0.93,42.791162,-76.117143,43.0524,-76.154722"
"a6ab339c-9071-4ee7-88d3-5e05f032a9da","0",19.185,1360,0.91,42.791162,-76.117143,43.0524,-76.154722"
"6a73a1a1-7b5a-4841-bcd2-6426589a47c1","1",21.333,1397,1.01,42.791162,-76.117143,43.076281,-76.169395"
"6a73a1a1-7b5a-4841-bcd2-6426589a47c1","0",21.269,1658,1.07,42.791162,-76.117143,43.076281,-76.169395"
"fea1af64-20e4-4339-9b65-957727b6b8fd","0",13.747,1126,0.7,43.158652,-76.332664,43.044295,-76.147309"
"fea1af64-20e4-4339-9b65-957727b6b8fd","1",13.856,1017,0.64,43.158652,-76.332664,43.044295,-76.147309"
"b63683b2-1907-4083-8e88-892405f14024","0",19.185,1360,0.91,42.791162,-76.117143,43.0524,-76.154722"
"b63683b2-1907-4083-8e88-892405f14024","1",20.357,1288,0.93,42.791162,-76.117143,43.0524,-76.154722"
"ab63bd92-f488-4d55-8942-260ef41eeccd","1",21.13,1605,0.97,43.193524,-76.292852,43.044295,-76.147309"
"ab63bd92-f488-4d55-8942-260ef41eeccd","0",21.021,1714,1.03,43.193524,-76.292852,43.044295,-76.147309"
"7639d03f-50c1-4b3e-9b51-d999309f14b8","0",2.983,495,0.22,43.050741,-76.189176,43.044295,-76.147309"
"7639d03f-50c1-4b3e-9b51-d999309f14b8","1",3.292,405,0.18,43.050741,-76.189176,43.044295,-76.147309"
"6c53b69c-5fe2-4306-8c77-31d9a003b707","1",20.357,1288,0.93,42.791162,-76.117143,43.0524,-76.154722"
"6c53b69c-5fe2-4306-8c77-31d9a003b707","0",19.185,1360,0.91,42.791162,-76.117143,43.0524,-76.154722"
"9855bb75-a27e-47f7-aaa5-8f51a8268a4a","0",19.185,1360,0.91,42.791162,-76.117143,43.0524,-76.154722"
"9855bb75-a27e-47f7-aaa5-8f51a8268a4a","1",20.357,1288,0.93,42.791162,-76.117143,43.0524,-76.154722"
"1969dbbf-827a-4c32-98cd-d9d6c005047d","0",19.185,1360,0.91,42.791162,-76.117143,43.0524,-76.154722"
"1969dbbf-827a-4c32-98cd-d9d6c005047d","1",20.357,1288,0.93,42.791162,-76.117143,43.0524,-76.154722"
"bb311367-d3eb-4aad-9b6f-43d62118d8da","1",4.728,713,0.33,43.03797,-76.124516,43.070965,-76.170334"
"bb311367-d3eb-4aad-9b6f-43d62118d8da","0",5.288,714,0.36,43.03797,-76.124516,43.070965,-76.170334"
"bb311367-d3eb-4aad-9b6f-43d62118d8da","1",20.357,1288,0.93,42.791162,-76.117143,43.0524,-76.154722"
"bb311367-d3eb-4aad-9b6f-43d62118d8da","0",19.185,1360,0.91,42.791162,-76.117143,43.0524,-76.154722"
"c0a4c132-aaa7-44fc-aa9c-3dcf0803c05e","0",19.185,1360,0.91,42.791162,-76.117143,43.0524,-76.154722"
"c0a4c132-aaa7-44fc-aa9c-3dcf0803c05e","1",20.357,1288,0.93,42.791162,-76.117143,43.0524,-76.154722"
"c0a4c132-aaa7-44fc-aa9c-3dcf0803c05e","0",19.185,1360,0.91,42.791162,-76.117143,43.0524,-76.154722"
"c0a4c132-aaa7-44fc-aa9c-3dcf0803c05e","1",20.357,1288,0.93,42.791162,-76.117143,43.0524,-76.154722"
"c0a4c132-aaa7-44fc-aa9c-3dcf0803c05e","0",19.185,1360,0.91,42.791162,-76.117143,43.0524,-76.154722"
"c0a4c132-aaa7-44fc-aa9c-3dcf0803c05e","1",20.357,1288,0.93,42.791162,-76.117143,43.0524,-76.154722"
"c0a4c132-aaa7-44fc-aa9c-3dcf0803c05e","1",35.947,2335,1.6,42.704982,-76.232627,43.0524,-76.154722"
"c0a4c132-aaa7-44fc-aa9c-3dcf0803c05e","1",35.946,2335,0,42.704982,-76.232627,43.0524,-76.154722"
"c0a4c132-aaa7-44fc-aa9c-3dcf0803c05e","1",20.398,1223,0,42.787475,-76.125419,43.0524,-76.154722"
"c0a4c132-aaa7-44fc-aa9c-3dcf0803c05e","0",19.185,1360,0.91,42.791162,-76.117143,43.0524,-76.154722"
"c0a4c132-aaa7-44fc-aa9c-3dcf0803c05e","1",20.357,1288,0.93,42.791162,-76.117143,43.0524,-76.154722"
"c0a4c132-aaa7-44fc-aa9c-3dcf0803c05e","0",19.185,1360,0.91,42.791162,-76.117143,43.0524,-76.154722"
"c0a4c132-aaa7-44fc-aa9c-3dcf0803c05e","1",20.357,1288,0.93,42.791162,-76.117143,43.0524,-76.154722"
"0742e3fb-44ef-4a54-848e-61d378131f30","0",7.148,840,0.38,43.022002,-76.160573,43.097152,-76.204084"
"0742e3fb-44ef-4a54-848e-61d378131f30","1",7.148,840,0.38,43.022002,-76.160573,43.097152,-76.204084"
"fea1af64-20e4-4339-9b65-957727b6b8fd","1",11.73,993,0.57,43.097815,-76.144469,42.976854,-76.141528"
"fea1af64-20e4-4339-9b65-957727b6b8fd","0",9.052,1300,0.52,43.097815,-76.144469,42.976854,-76.141528"
"c2533fff-f534-4160-a722-b6307097532e","1",11.73,993,0.57,43.097815,-76.144469,42.976854,-76.141528"
"c2533fff-f534-4160-a722-b6307097532e","0",9.052,1300,0.52,43.097815,-76.144469,42.976854,-76.141528"
"c2533fff-f534-4160-a722-b6307097532e","0",12.784,861,0.6,43.063993,-76.071072,42.976854,-76.141528"
"c2533fff-f534-4160-a722-b6307097532e","1",12.784,861,0.6,43.063993,-76.071072,42.976854,-76.141528"
"c2533fff-f534-4160-a722-b6307097532e","0",14.579,1087,0.69,43.102867,-76.206364,42.991901,-76.071899"
"c2533fff-f534-4160-a722-b6307097532e","1",12.843,981,0.62,43.102867,-76.206364,42.991901,-76.071899"
"c2533fff-f534-4160-a722-b6307097532e","0",18.318,1561,0.91,43.102867,-76.206364,42.897351,-76.083009"
"c2533fff-f534-4160-a722-b6307097532e","1",18.474,1335,0.87,43.102867,-76.206364,42.897351,-76.083009"
"c2533fff-f534-4160-a722-b6307097532e","1",6.327,680,0.34,43.060755,-76.186919,43.011292,-76.125415"
"c2533fff-f534-4160-a722-b6307097532e","0",5.844,861,0.36,43.060755,-76.186919,43.011292,-76.125415"
"c2533fff-f534-4160-a722-b6307097532e","1",188.879,11064,9.1,43.060755,-76.186919,45.358854,-75.749872"
"c2533fff-f534-4160-a722-b6307097532e","0",188.879,11064,9.1,43.060755,-76.186919,45.358854,-75.749872"
"c2533fff-f534-4160-a722-b6307097532e","1",7.926,699,0.41,43.060755,-76.186919,43.002879,-76.101256"
"c2533fff-f534-4160-a722-b6307097532e","0",7.435,946,0.43,43.060755,-76.186919,43.002879,-76.101256"
"c2533fff-f534-4160-a722-b6307097532e","0",6.6,815,0.41,43.063147,-76.130075,43.002879,-76.101256"
"c2533fff-f534-4160-a722-b6307097532e","1",7.319,643,0.4,43.063147,-76.130075,43.002879,-76.101256"
"c2533fff-f534-4160-a722-b6307097532e","0",9.754,824,0.53,43.063147,-76.130075,42.991901,-76.071899"
"c2533fff-f534-4160-a722-b6307097532e","1",9.754,824,0.53,43.063147,-76.130075,42.991901,-76.071899"
"c2533fff-f534-4160-a722-b6307097532e","1",15.878,1203,0.8,43.063147,-76.130075,42.897351,-76.083009"
"c2533fff-f534-4160-a722-b6307097532e","0",15.159,1375,0.81,43.063147,-76.130075,42.897351,-76.083009"
"9054e19d-9c07-49d1-bd5a-be7b97438d84","1",35.281,2231,1.71,43.179567,-76.221498,42.798129,-76.109517"
"9054e19d-9c07-49d1-bd5a-be7b97438d84","0",39.365,2429,1.9,43.179567,-76.221498,42.798129,-76.109517"
"9054e19d-9c07-49d1-bd5a-be7b97438d84","1",19.513,1438,0.97,43.179567,-76.221498,43.023204,-76.13896"
"9054e19d-9c07-49d1-bd5a-be7b97438d84","0",18.769,1498,0.96,43.179567,-76.221498,43.023204,-76.13896"
